timestamp,device_id,data_category,min_value,avg_value,max_value
1774919160,565,14223,72.96,73.0125,73.03
1774919160,565,14221,10.68,11.875,13.69
1774919160,565,14215,0,0,0
1774919160,565,14211,1,1,1
1774919220,565,14223,71.8,72.065,72.49
1774919220,565,14221,10.64,11.9675,14.73
1774919220,565,14215,0,0,0
1774919220,565,14211,1,1,1
1774919280,565,14223,71.45,71.57,71.83
1774919280,565,14221,11.65,14.725,17.64
1774919280,565,14215,0,0,0
1774919280,565,14211,1,1,1
1774919340,565,14223,71.19,71.415,71.49
1774919340,565,14221,12.49,16.0175,18.14
1774919340,565,14215,0,0,0
1774919340,565,14211,1,1,1
1774919400,565,14223,70.52,70.795,71.07
1774919400,565,14221,12.61,15.0775,17.05
1774919400,565,14215,0,0,0
1774919400,565,14211,1,1,1
1774919460,565,14223,70.02,70.02,70.02
1774919460,565,14221,14.09,15.84,18.07
1774919460,565,14215,0,0,0
1774919460,565,14211,1,1,1
1774919520,565,14223,71.17,71.17,71.17
1774919520,565,14221,12.32,12.32,12.32
1774919520,565,14215,0,0,0
1774919520,565,14211,1,1,1
1774919580,565,14223,69.55,70.765,71.17
1774919580,565,14221,12.32,13.27,16.12
1774919580,565,14215,0,0,0
1774919580,565,14211,1,1,1
1774919640,565,14223,70.51,70.51,70.51
1774919640,565,14221,16.12,16.12,16.12
1774919640,565,14215,0,0,0
1774919640,565,14211,1,1,1
1774919700,565,14223,0,0,0
1774919700,565,14221,0,0,0
1774919700,565,14215,0,0,0
1774919700,565,14211,1,1,1
1774919760,565,14223,72.69,72.785,72.83
1774919760,565,14221,13.92,15.6475,17.82
1774919760,565,14215,0,0,0
1774919760,565,14211,1,1,1
1774919820,565,14223,69.12,69.4425,69.55
1774919820,565,14221,11.66,13.3225,16.68
1774919820,565,14215,0,0,0
1774919820,565,14211,1,1,1
1774919880,565,14223,73.4,73.5425,73.59
1774919880,565,14221,16.68,16.775,17.06
1774919880,565,14215,0,0,0
1774919880,565,14211,1,1,1
1774919940,565,14223,69.12,70.3467,72.8
1774919940,565,14221,13.05,14.0833,14.69
1774919940,565,14215,0,0,0
1774919940,565,14211,1,1,1
1774920000,565,14223,69.12,71.97,73.16
1774920000,565,14221,12.51,14.0925,14.84
1774920000,565,14215,0,0,0
1774920000,565,14211,1,1,1
1774920060,565,14223,69.68,70.115,70.5
1774920060,565,14221,13.04,13.645,14.26
1774920060,565,14215,0,0,0
1774920060,565,14211,1,1,1
1774920120,565,14223,70.5,70.5,70.5
1774920120,565,14221,13.04,15.22,17.08
1774920120,565,14215,0,0,0
1774920120,565,14211,1,1,1
1774920180,565,14223,0,0,0
1774920180,565,14221,0,0,0
1774920180,565,14215,0,0,0
1774920180,565,14211,1,1,1
1774920240,565,14223,0,0,0
1774920240,565,14221,0,0,0
1774920240,565,14215,0,0,0
1774920240,565,14211,0,0,0
1774920300,565,14223,0,0,0
1774920300,565,14221,0,0,0
1774920300,565,14215,0,0,0
1774920300,565,14211,0,0,0
1774920360,565,14223,0,0,0
1774920360,565,14221,0,0,0
1774920360,565,14215,0,0,0
1774920360,565,14211,0,0,0
1774920420,565,14223,0,0,0
1774920420,565,14221,0,0,0
1774920420,565,14215,0,0,0
1774920420,565,14211,0,0,0
1774920480,565,14223,0,0,0
1774920480,565,14221,0,0,0
1774920480,565,14215,0,0,0
1774920480,565,14211,0,0,0
1774920540,565,14223,0,0,0
1774920540,565,14221,0,0,0
1774920540,565,14215,0,0,0
1774920540,565,14211,0,0,0
1774920600,565,14223,0,0,0
1774920600,565,14221,0,0,0
1774920600,565,14215,0,0,0
1774920600,565,14211,0,0,0
1774920660,565,14223,0,0,0
1774920660,565,14221,0,0,0
1774920660,565,14215,0,0,0
1774920660,565,14211,0,0,0
1774920720,565,14223,0,0,0
1774920720,565,14221,0,0,0
1774920720,565,14215,0,0,0
1774920720,565,14211,0,0,0
1774920780,565,14223,0,0,0
1774920780,565,14221,0,0,0
1774920780,565,14215,0,0,0
1774920780,565,14211,0,0,0
1774920840,565,14223,0,0,0
1774920840,565,14221,0,0,0
1774920840,565,14215,0,0,0
1774920840,565,14211,0,0,0
1774920900,565,14223,0,0,0
1774920900,565,14221,0,0,0
1774920900,565,14215,0,0,0
1774920900,565,14211,0,0,0
1774920960,565,14223,0,0,0
1774920960,565,14221,0,0,0
1774920960,565,14215,0,0,0
1774920960,565,14211,0,0,0
1774921020,565,14223,0,0,0
1774921020,565,14221,0,0,0
1774921020,565,14215,0,0,0
1774921020,565,14211,0,0,0
1774921080,565,14223,0,0,0
1774921080,565,14221,0,0,0
1774921080,565,14215,0,0,0
1774921080,565,14211,0,0,0
1774921140,565,14223,0,0,0
1774921140,565,14221,0,0,0
1774921140,565,14215,0,0,0
1774921140,565,14211,0,0,0
1774921200,565,14223,0,0,0
1774921200,565,14221,0,0,0
1774921200,565,14215,0,0,0
1774921200,565,14211,0,0,0
1774921260,565,14223,0,0,0
1774921260,565,14221,0,0,0
1774921260,565,14215,0,0,0
1774921260,565,14211,0,0,0
1774921320,565,14223,0,0,0
1774921320,565,14221,0,0,0
1774921320,565,14215,0,0,0
1774921320,565,14211,0,0,0
1774921380,565,14223,0,0,0
1774921380,565,14221,0,0,0
1774921380,565,14215,0,0,0
1774921380,565,14211,0,0,0
1774921440,565,14223,0,0,0
1774921440,565,14221,0,0,0
1774921440,565,14215,0,0,0
1774921440,565,14211,0,0,0
1774921500,565,14223,0,0,0
1774921500,565,14221,0,0,0
1774921500,565,14215,0,0,0
1774921500,565,14211,0,0,0
1774921560,565,14223,0,0,0
1774921560,565,14221,0,0,0
1774921560,565,14215,0,0,0
1774921560,565,14211,0,0,0
1774921620,565,14223,0,0,0
1774921620,565,14221,0,0,0
1774921620,565,14215,0,0,0
1774921620,565,14211,0,0,0
1774921680,565,14223,0,0,0
1774921680,565,14221,0,0,0
1774921680,565,14215,0,0,0
1774921680,565,14211,0,0,0
1774921740,565,14223,0,0,0
1774921740,565,14221,0,0,0
1774921740,565,14215,0,0,0
1774921740,565,14211,0,0,0
1774921800,565,14223,0,0,0
1774921800,565,14221,0,0,0
1774921800,565,14215,0,0,0
1774921800,565,14211,0,0,0
1774921860,565,14223,0,0,0
1774921860,565,14221,0,0,0
1774921860,565,14215,0,0,0
1774921860,565,14211,0,0,0
1774921920,565,14223,0,0,0
1774921920,565,14221,0,0,0
1774921920,565,14215,0,0,0
1774921920,565,14211,0,0,0
1774921980,565,14223,0,0,0
1774921980,565,14221,0,0,0
1774921980,565,14215,0,0,0
1774921980,565,14211,0,0,0
1774922040,565,14223,0,0,0
1774922040,565,14221,0,0,0
1774922040,565,14215,0,0,0
1774922040,565,14211,0,0,0
1774922100,565,14223,0,0,0
1774922100,565,14221,0,0,0
1774922100,565,14215,0,0,0
1774922100,565,14211,0,0,0
1774922160,565,14223,0,0,0
1774922160,565,14221,0,0,0
1774922160,565,14215,0,0,0
1774922160,565,14211,0,0,0
1774922220,565,14223,0,0,0
1774922220,565,14221,0,0,0
1774922220,565,14215,0,0,0
1774922220,565,14211,0,0,0
1774922280,565,14223,0,0,0
1774922280,565,14221,0,0,0
1774922280,565,14215,0,0,0
1774922280,565,14211,0,0,0
1774922340,565,14223,0,0,0
1774922340,565,14221,0,0,0
1774922340,565,14215,0,0,0
1774922340,565,14211,0,0,0
1774922400,565,14223,0,0,0
1774922400,565,14221,0,0,0
1774922400,565,14215,0,0,0
1774922400,565,14211,0,0,0
1774922460,565,14223,0,0,0
1774922460,565,14221,0,0,0
1774922460,565,14215,0,0,0
1774922460,565,14211,0,0,0
1774922520,565,14223,0,0,0
1774922520,565,14221,0,0,0
1774922520,565,14215,0,0,0
1774922520,565,14211,0,0,0
1774922580,565,14223,0,0,0
1774922580,565,14221,0,0,0
1774922580,565,14215,0,0,0
1774922580,565,14211,0,0,0
1774922640,565,14223,0,0,0
1774922640,565,14221,0,0,0
1774922640,565,14215,0,0,0
1774922640,565,14211,0,0,0
1774922700,565,14223,0,0,0
1774922700,565,14221,0,0,0
1774922700,565,14215,0,0,0
1774922700,565,14211,0,0,0
1774922760,565,14223,0,0,0
1774922760,565,14221,0,0,0
1774922760,565,14215,0,0,0
1774922760,565,14211,0,0,0
1774922820,565,14223,0,0,0
1774922820,565,14221,0,0,0
1774922820,565,14215,0,0,0
1774922820,565,14211,0,0,0
1774922880,565,14223,0,0,0
1774922880,565,14221,0,0,0
1774922880,565,14215,0,0,0
1774922880,565,14211,0,0,0
1774922940,565,14223,0,0,0
1774922940,565,14221,0,0,0
1774922940,565,14215,0,0,0
1774922940,565,14211,0,0,0
1774923000,565,14223,0,0,0
1774923000,565,14221,0,0,0
1774923000,565,14215,0,0,0
1774923000,565,14211,0,0,0
1774923060,565,14223,0,0,0
1774923060,565,14221,0,0,0
1774923060,565,14215,0,0,0
1774923060,565,14211,0,0,0
1774923120,565,14223,0,0,0
1774923120,565,14221,0,0,0
1774923120,565,14215,0,0,0
1774923120,565,14211,0,0,0
1774923180,565,14223,0,0,0
1774923180,565,14221,0,0,0
1774923180,565,14215,0,0,0
1774923180,565,14211,0,0,0
1774923240,565,14223,0,0,0
1774923240,565,14221,0,0,0
1774923240,565,14215,0,0,0
1774923240,565,14211,0,0,0
1774923300,565,14223,0,0,0
1774923300,565,14221,0,0,0
1774923300,565,14215,0,0,0
1774923300,565,14211,0,0,0
1774923360,565,14223,0,0,0
1774923360,565,14221,0,0,0
1774923360,565,14215,0,0,0
1774923360,565,14211,0,0,0
1774923420,565,14223,0,0,0
1774923420,565,14221,0,0,0
1774923420,565,14215,0,0,0
1774923420,565,14211,0,0,0
1774923480,565,14223,0,0,0
1774923480,565,14221,0,0,0
1774923480,565,14215,0,0,0
1774923480,565,14211,0,0,0
1774923540,565,14223,0,0,0
1774923540,565,14221,0,0,0
1774923540,565,14215,0,0,0
1774923540,565,14211,0,0,0
1774923600,565,14223,0,0,0
1774923600,565,14221,0,0,0
1774923600,565,14215,0,0,0
1774923600,565,14211,0,0,0
1774923660,565,14223,0,0,0
1774923660,565,14221,0,0,0
1774923660,565,14215,0,0,0
1774923660,565,14211,0,0,0
1774923720,565,14223,0,0,0
1774923720,565,14221,0,0,0
1774923720,565,14215,0,0,0
1774923720,565,14211,0,0,0
1774923780,565,14223,0,0,0
1774923780,565,14221,0,0,0
1774923780,565,14215,0,0,0
1774923780,565,14211,0,0,0
1774923840,565,14223,0,0,0
1774923840,565,14221,0,0,0
1774923840,565,14215,0,0,0
